page	section	subsection	title	inscription	comments	
22	饪食器铭文	鼎	陶陵鼎（二）	腧麋陶陵共厨铜鼎一合，容二斗,并重十五斤。汧陶陵共厨铜鼎，容二斗，重十五斤。（横列于上段“重”、“十”二字之间）(《汉金》卷一）	整理者案：《历代著录吉金目》页882下栏题作“險麋定陶鼎”。“汧陶陵”，王 卉《汉代铜器铭文汇总》脱“陶陵”二字。	
22	饪食器铭文	鼎	千岁鼎	千岁。（《文物》1963.11）	整理者案：王卉《汉代铜器铭文汇总》本篇误收下“朝歌鼎”篇铭文。	
22	饪食器铭文	鼎	朝歌鼎	朝歌。（腹）戊。一斗，重八斤四两。（耳V《十二家吉金图录》第一册）		
22	饪食器铭文	鼎	汉长安共厨鼎	长安共厨二升鼎盖。第三。（盖）长安共厨金鼎一合，重十八斤八两，容二升。 第八。（器V《岩窟吉金图录》卷上）		
22	饪食器铭文	鼎	葬鼎	葬。（《文物》1963.10	整理者案：王卉《汉代铜器铭文汇总》未收此篇。	
23	饪食器铭文	鼎	黃阳鼎	鄠莨阳共鼎，容一斗一升，重六斤七两。第百卅七。第百卅七。（《文物》 1995. 1〇	徐按:原报告认为是战国鼎，允为第六段铭文，汉初刻。第一至第五段铭文乃 汉以前所刻，此不录。整理者案：王卉《汉代钢器铭文汇总》无铭首“鄠”字。	
23	饪食器铭文	鼎	马里粱氏鼎	马里粱氏。（腹部一侧）合口。（腹部另一侧^《满城汉墓发掘报告》第52 页;1:4101）	整理者案：王卉《汉代铜器铭文汇总》“粱”误作“梁”。	
23	饪食器铭文	鼎	乙亥鼎	乙亥。六斤五两。容一斗七升。（腹）重二斤六两。家。（盖《考古》		
23	饪食器铭文	鼎	私官鼎	右私官六一斗半斗曲高（盖）九斤十二两右游九口口止斗半斗 高居恒高居少宫口曲（腹“《考古》		
23	饪食器铭文	鼎	容四斗鼎	容四斗，重一钧。（《考古学报》1983,4；35号）		
23	饪食器铭文	鼎	辛鼎	四斤九两。名辛。（盖）容二斗少半斗，十六斤七两。（口沿“《广州汉墓》？\1，1 ~，\^1:!!)		
23	饪食器铭文	鼎	蕃禺鼎（一）	蕃禺，少内。（盖）蕃禺，少内，容一斗大半。（腹^《西汉南越王墓》？276；054 ^	整理者案：《秦汉金文汇编》上编“大半”作“少半”。	
23	饪食器铭文	鼎	蕃禺鼎（二）	蕃禺，少内。（盖）蕃禺，少内。容二斗二升。（腹“同前;064）		
23	饪食器铭文	鼎	蕃禺鼎（三）	蕃禺，少内。（盖）蕃，少内，一斗二升少半。（腹V同前;066）		
23	饪食器铭文	鼎	蕃鼎（一）	蕃，一斤九两，少内。（盖）蕃，容一斗一升。（腹八同前;053）	整理者案：王卉《汉代铜器铭文汇总》盖铭“一斤九两”误作“一斗一升”。	
24	饪食器铭文	鼎	蕃鼎（二）	蕃，三斗。（盘口八同前书		
24	饪食器铭文	鼎	重廿八斤鼎	重廿八斤，容六斗大半斗。（盘口 “同前;09）	整理者案：王卉《汉代铜器铭文汇总》“大半斗”作“大半升”。	
24	饪食器铭文	鼎	少内鼎	少内，蕃，一斗一升。（口沿“同前;055）		
24	饪食器铭文	鼎	重+六斤鼎	重十六斤，容三斗大半斗。（口沿V同前书	整理者案：《秦汉金文汇编》上编“十六”作“廿六”，“大半”作“少半”。	
24	饪食器铭文	鼎	周里鼎	容斗六升，并盖重十五斤四两。（腹）周里。（腹另一侧“《文物》1973.4； 1055 ^		
24	饪食器铭文	鼎	御食官鼎	御食官，容六升，并盖重六斤一两。丁。（腹）文后家官。（口唇外侧）食官。 (一钮上）甲第五。（盖“《文物》	整理者案：《秦汉金文汇编》上编以“文后家官”四字为盖铭。	
24	饪食器铭文	鼎	昆阳乘舆铜鼎	昆阳乘舆铜鼎一，有盖，容十斗，并重六十六斤。阳翟守令当时、守丞千秋、左 乐、工国造。（《考古》1%3,2；11号）	"整理者案：《秦汉金文汇编》上编“十斗”作“七斗”，“六十六”作“八十六”， “左乐”作“光乐”，并误。《中国书法全集》第九册页41图16、《中国青铜器全集-秦汉》（以下省称《全集，秦汉》）图二八并作“十斗”、“六十六”，甚清晰,，铭文 “铜鼎”，《中国书法全集》作“铜锚”。又《中国书法全集》《全集，秦汉》图二八 “阳翟’’上俱有“三年”二字，当据补。“左乐”，《中国书法全集》作“佐乐”。据《中 国书法全集》第九册页丨84图版考释丨6,此器作于西汉中期，1961年出土于西安 三桥镇高密村汉上林苑遗址。《中国书法全集》曰：“‘昆阳’，县名，属颖川郡。此 鼎係昆阳县上供汉庭之鼎。‘乘舆’，原指汉代帝王使用之物，其后亦以称天子。 器铭的‘守令’^‘守臣’^‘佐’一一‘工’的行文排列顺序，为西汉中期偏早 所通行。故刻铭中的‘三年’，应为汉武帝置年号以前的纪年。‘当时’、‘千秋’、‘乐’均为建造官吏之属名。‘阳翟’，县名。颖川工官所在地，故城在今河南 禹县。"""	
25	饪食器铭文	鼎	齐食大官畜鼎	齐食大官畜口。（盖）（《考古学报》19肋：2 ； 1 ：88）	整理者案：王卉《汉代铜器铭、文汇总》未录此篇。又黄展岳释文“畜口”作“畜 粲[人]见《西汉齐王墓器物坑出土器铭考释》，栽《中国考古学研究一夏鼐先 生考古五十周年纪念论文集》？220—234。以下引黄展岳释文，若未特别说明，皆 出此）。	
25	饪食器铭文	鼎	大官鼎（一）	大官。（腹）木。（耳）大官尚志。（盖同前;1:90）	整理者案：黄展岳释文“志”作“寺”。	
25	饪食器铭文	鼎	大官鼎（二）	大官。（腹0同前山97）		
25	饪食器铭文	鼎	齐食官畜鼎	齐食[^畜。（腹）齐食大官北宫。十。（盖八同前;1:92）		
25	饪食器铭文	鼎	南宫鼎（一）	南宫鼎。（腹）齐食官朱。（横刻“同前;1:101）	整理者案：黄展岳释文“齐食官朱”四字亦在腹部。	
25	饪食器铭文	鼎	南宫鼎（二）	南宫鼎。（腹“同前;1:105）		
25	饪食器铭文	鼎	南宫鼎（三）	南宫鼎。朱,齐食官。（腹）齐食大官右般者。（盖八同前;1:106）	整理者案：黄展岳释文盖铭“食”在“官”下。	
25	饪食器铭文	鼎	大官北宫鼎（一）	大官北宫。（腹）齐食官朱。（盖八同前;1:110）		
25	饪食器铭文	鼎	大官北宫鼎（二）	大官北宫。（腹“同前;1:126）		
25	饪食器铭文	鼎	齐大官尚志鼎	齐大官尚志。十。南宫鼎。（腹）左，容二斗，重九斤。（盖^同前;1:111） 	整理者案：黄展岳释文“志”作“寺”。	
25	饪食器铭文	鼎	齐大官畜粲人鼎	齐大官畜粲人。（腹同前;1:125）		
26	饪食器铭文	鼎	齐大官畜鼎	齐大官畜。南宫鼎。（盖八同前;1:127】		
26	饪食器铭文	鼎	张端君鼎	111端君斗鼎一0。（《考古》1966.4）		
26	饪食器铭文	鼎	羽阳宫鼎	今汧共厨。郡邸鼎一合，容一斗二升，并重七斤十四两。名丑。雍羽阳宫鼎， 容一斗二升,并重六斤七两。名册九。容一斗二升，高唐，六斤一两一二朱。五十三。（《考古与文物》1981.0 整理者案：王卉《汉代铜器铭文汇总》上条铭文“邸鼎”下有“彝”字。		
26	饪食器铭文	鼎	曲庙鼎	曲庙，并重廿一斤四两。（《考古》1997.3）		
26	饪食器铭文	鼎	废丘鼎	废丘，一斗，重七斤。丑四。（《考古与文物》1980.1）	整理者案：王卉《汉代铜器铭文汇总》“七斤”作“四斤’’。	
26	饪食器铭文	鼎	瑯厨金鼎	贞共。百十八。尚。今黄共，二升少半。二百册二。槐里，重一斤八两。（盖） 今鄘。鄘厨金鼎一合，容九升,重十斤十二两。口口口华共，八升，十斤八两。 百一十。十斤四两。名缶。令口，六斤八两。口口口口门共鼎。黄山共薷口。 (器八《考古与文物》1980.0	整理者案：王卉《汉代铜器铭文汇总》未释二“鄺”字，“令口”之“令”作“今”。 又案：吴镇烽录文上条“二百卅二”作“百卅二、见吴氏《近年所见所拓两周秦汉 青铜器铭文》文，栽《文博》2006, 3—9）。	
26	饪食器铭文	鼎	竟陵鼎	竟陵。（阳文八《考古》1988,8；阽11 ：4）		
26	饪食器铭文	鼎	临晋厨鼎	乙廿三。名卅二。（盖）乙廿三。九斤五两，一斗一升。临晋厨鼎一合，容口 斗口升，重七斤十两，并重九斤十两。名卅二。临晋，重……（余残损^腹八《考 古与文物》1994.4）		
26	饪食器铭文	鼎	慎鼎	慎，重十斤十两，容一斗三升。甲。食官，一斗三升，十斤六两。（《考古学报》 1957. 〇		
27	饪食器铭文	鼎	高平宫金鼎	郑，一斗五斤，行。五斤八两，一斗，才。十一。（盖）栎阳高平宫金鼎，容一 斗,重四斤十三两。名曰五十四。今栎阳。今百一十六（横刻（器”《考古与 文物》1980.0		
27	饪食器铭文	鼎	新丰宫鼎	新丰宫口口口，容一斗三升,十斤五两口。新丰宫，一斗三升，九斤二两。夕里癸。（《考古与文物》1980.0	整理者案：王卉《汉代铜器铭文汇总》未收此篇。吴镇烽录文“容一斗三升” 上有“百一十三”四字，无后条“新丰宫”至“九斤二两”十一字（见吴氏《近年所见 所拓两周秦汉青铜器铭文》文，栽《文博》2006, 3？4一9）。据《中国书法全集》第九 册页183图版考释15,此器作于西汉早期，出土于陕西三原，藏陕西省原县文化 馆。《中国书法全集》曰：“据《汉书，地理志》栽，新丰在今陕西临潼北，新丰宫当 係汉高祖刘邦为太上皇于新丰所置之宫。”又曰：“三部分铭文係三次刻成。‘夕里 癸’为初刻，‘新丰宫一斗三升九斤二两’为第二次铭刻，‘新丰宫容一斗三升十斤 五两’为最后刻成。”	
27	饪食器铭文	鼎	雍虢共厨鼎	雍虢共厨。第辰。（《考古与文物》1992.4）	整理者案：王卉《汉代铜器铭文汇总》“雍”作“雖”。	
27	饪食器铭文	鼎	河间邸鼎	河间邸,容五升，重十二钧十两。（《考古与文物》丨987.4；铜鼎I）	徐按:拓片不清。“均”当是“斤”之误释。	
27	饪食器铭文	鼎	朐邑铜鼎	朐邑铜鼎，容斗四升，重廿斤（《考古》1992.2）		
27	饪食器铭文	鼎	—斗一升鼎	一斗一升。（盖^《考古》1987.8）		
27	饪食器铭文	鼎	钜平鼎	钜平。（《考古》1987.7）	整理者案:王卉《汉代铜器铭文汇总》“钜平”下尚有“（器一侧）冋（器另一 侧厂字样。	
27	饪食器铭文	鼎	阳平顷侯石鼎	阳平顷侯家上铜石鼎，重七十三斤。（《考古与文物》1985.5）	徐按:“家”，原报告误释为“冢”。整理者案：《秦汉金文汇编》上编亦作“冢”。 则作“冢”字不误。	
28	饪食器铭文	鼎	子鼎	子鼎，一斗。（一耳旁）赵主家。（另一耳旁八同前）		
28	饪食器铭文	鼎	延寿宫鼎	@0宫，重十六斤四两，容二升。（《考古》1980.0 		
28	饪食器铭文	鼎	明光宫鼎（一）	明光宫。（上腹一侧）口口家。（另一侧八《文物》1984.11；肘2：〇 		
28	饪食器铭文	鼎	明光宫鼎（二）	明光宫。(上腹一侧）口口家。（另一侧八《文物》1984.11 ；殿：85）		
28	饪食器铭文	鼎	明光宫鼎（三）	明光宫。（上腹一侧八同前;^12：2）		
28	饪食器铭文	鼎	明光宫鼎（四）	明光宫。（上腹卧刻）口口家。（另一侧《文物》丨984, 11；未编号》		
28	饪食器铭文	鼎	明光宫鼎（五）	明光宫。（上腹卧刻V《文物》1984. 11;\12:3)		
28	饪食器铭文	鼎	广陵服食官钉（一）	服食官钉盖。第二。（盖）广陵服食官钉。第二。（腹^《文物》1991.10； \1104：〇	徐按:“钉”通“鼎”。	
28	饪食器铭文	鼎	广鼎服食官钉（二）	服食官。第五。（盖）广陵服食官钉。第十。（腹八《文物》199丨.10;1VI1唞:2)	徐按：器盖误配。	
28	饪食器铭文	鼎	大子鼎	大子。（同前;閱104:6）		
28	饪食器铭文	鼎	馆陶家铜连鼎	铜连鼎四合，容各三斗，并重九十三斤。''馆陶家，霸田。（《考古与文物》 1982.4）	整理者案：又见《全集，秦汉》说明页8。《全集，秦汉》定此为西汉早期物。	
28	饪食器铭文	鼎	王氏一斗鼎	王氏，容一斗，重七斤十一两〇（ 一耳旁）庚。（另一耳旁穴《考古与文物》1982.4）		
29	饪食器铭文	鼎	王氏鼎	王氏,重一斤十四两。（盖边缘处）庚。（另一处“《考古与文物》1982.4）	整理者案：王卉《汉代铜器铭文汇总》“另一处”作“另一耳旁”。	
29	饪食器铭文	鼎	李氏鼎（补）	李氏。	整理者案:据《宣和博古图》卷五补。亦见《啸堂集古录》卷上。	
29	饪食器铭文	鼎	李氏鼎	李氏，重十三斤。（口沿下八《文物》1983.12）		
29	饪食器铭文	鼎	鲍氏鼎（补）	鲍氏。	整理者案：据《历代钟鼎弈器款识》卷十八补。亦见《啸堂集古录》卷下。	
29	饪食器铭文	鼎	汾阴侯鼎（补）	汾阴侯。	整理者案：据《历代钟鼎弈器款识》卷十八补。亦见《啸堂集古录》卷下。	
29	饪食器铭文	鼎	汾阴侯铡（补）	始建国元年正月癸酉朔日制。汾阴侯。	整理者案：据《陇右金石录》卷一补。《陇右金石录》曰：“出于泾川，民众教育 馆藏。今存。按此器出于泾川，其形如鼎，高一尺二寸，周二尺四寸，三足，无盖。 盖古和羹之器，所谓铡也。右有字三行十二字，左字一行，‘汾阴侯’三字。为莽初 所制。汾阴侯，不知何人，《汉书》有‘汾阴侯周昌，传四代至昌玄孙明，失爵，复 家’。似尚未至莽初。文用小篆，甚似莽权铭。”又新莽始建国元年为8年。	
29	饪食器铭文	鼎	汉孝成鼎（补）	长安厨孝成庙铜三斗鼎盖一合。第一。（盖）长安厨孝成庙铜鼎，容三斗一 合，并重廿六斤。建平三年十月，工王褒造。左丞辅、掾谭、守令史永省。第一。 (器）	"整理者案：据《宣和博古图》卷五补。《啸堂集古录》卷上、《历代钟鼎弈器款 识》卷十八所录未明确区分盖铭与器铭。器铭‘‘工王褒”，《啸堂集古录》作“土王 褒”，《积古斋钟鼎弈器款识》卷九误作“上王褒”。《金索》卷一篇题“成”下有 “庙”字，器铭阙“第一”二字。而邃古斋藏本《金索》未录器铭。《历代著录吉金 目》页890上栏器铭“廿六”作“廿八""。又建平为西汉哀帝年号（建平三年为前4 年），此为西汉物。"	
30	饪食器铭文	鼎	长安鼎（补）	长安厨孝成庙铜二斗鼎盖一合。第九。（盖）厨孝成庙铜鼎，容二斗一合，并 重十二斤六两。建平三年十月，工王褒造。左丞辅、橡谭、守令史永省。第九。 (器）	整理者案：据《陶斋吉金录》卷五补。西汉哀帝建平三年为前4年，此为西 汉物。	
30	饪食器铭文	鼎	汉汾阴宫鼎（补）	汾阴供官铜鼎盖,二十枚，重三斤八两。（盖）汾阴供官铜鼎，二十枚，容一斗， 重十斤。汾阴宫铜鼎一，容一斗，重十斤。平阳一斗鼎，重十斤。第廿三。（器）	整理者案：据《宣和博古图》卷五补。《啸堂集古录》卷上、《历代钟鼎弈器款 识》卷十八所录未明确区分盖铭与器铭。《啸堂集古录》《金索》卷一器铭、盖铭 “二十”皆作“十十”。又器铭、盖铭之“供”字，《啸堂集古录》《金索》所附图片皆 作“共”。器铭“二十枚容一斗”，《啸堂集古录》无“一”字。	
30	饪食器铭文	鼎	彭阳鼎	彭阳，重三斤四两，容三升。（盖）彭阳，重七斤，容十斗三升。（口沿“《文 物》1984.4）	整理者案：本篇又见秦凤鹤《甘肃出土先秦两汉青铜器铭文整理与研究》？150 所录，“容三升”作“容二升”，“十斗”作“一斗”。	
30	饪食器铭文	鼎	二斗二升鼎	二斗二升。（《文物》1978.9；肘1:28）		
30	饪食器铭文	鼎	二斗少半鼎	二斗少半。（《文物》丨978.9:1^1 ：30）	整理者案：王卉《汉代铜器铭文汇总》铭文“半”下有“升”字。	
30	饪食器铭文	鼎	布鼎（一）	布。（盖）布。析。（腹一侧）析，二斗一升。二斗大半升。（另一侧八同前; \11：3〇	整理者案：王卉《汉代铜器铭文汇总》腹一侧铭文脱“析”字。	
30	饪食器铭文	鼎	布鼎（二）	布。析。（盖）一斗九升。布。（腹一侧）蕃，二斗二升。析,二斗大半升。 (同前		
30	饪食器铭文	鼎	甲鼎	甲。（《文物资料丛刊》句		
31	饪食器铭文	鼎	甲鼎（补）	甲。口曲六斤，一升半升。	整理者案：据《贞松堂集古遗文》卷十三补。	
31	饪食器铭文	鼎	平息侯家鼎	平息侯家铜鼎一，容一斗二升，并重十斤。（《古文字研究》第十九辑）	整理者案：此鼎又见《贞松堂集古遗文》卷十三，“息”作“恩”，“十斤”作“九 斤”，无“二升”。查《古文字研究》第十九辑周世荣《湖南战国秦汉魏晋铜器铭文 补记》一文，铭文“十斤”作“一斤”。	
31	饪食器铭文	鼎	杨子赣家铜鼎	杨子赣家鼎盖。（盖）杨主家铜鼎，容斗五升，有盖，并重口口斤。（器“《古 文字研究》第十九辑）	整理者案：据《古文字研究》第十九辑周世荣《湖南战国秦汉魏晋铜器铭文补 记》一文，此器出土于长沙王后冢，则亦为西汉物。	
31	饪食器铭文	鼎	西口宫鼎	西口宫鼎，容一斗，并重十七斤七两。七。（《中国文物报》1994.2.27—总372期）		
31	饪食器铭文	鼎	口口铜鼎	口口铜鼎，容五升，有盖，并重四两。（腹外沿）口口口口口口口十二两。 (盖“《考古》1984.9:74长阿町）		
31	饪食器铭文	鼎	吕鼎	吕，容一斗五升，重十五斤十五两。第卅七。（器）吕。第卅七。（盖V《文 物》1998.8 ； VI ：33）	徐按:原报告“七”均误释为“十”。	
31	饪食器铭文	鼎	清河第四鼎	清河第四鼎，容二斗半，重廿斤。（《汉书新证》？313 —314）		
31	饪食器铭文	鼎	清河第五鼎	清河邸少内。第五。（盖）清河邸少内第五鼎，容一斗半,重十斤。（器^同 前书朽“）		
31	饪食器铭文	鼎	大吉利鼎	大吉利，君宜官。（《考古》2001.10;F!V:466)	整理者案：王卉《汉代铜器铭文汇总》未收此篇。	
32	饪食器铭文	鼎	赵鼎（补）	赵鼎，十四斤。	整理者案：据《贞松堂集古遗文》卷十三补。	
32	饪食器铭文	鼎	赵夫人鼎	赵夫人，二斗，王夫人。（盖）王夫人，二斗，赵夫人。（器“《文物》2003.9）	整理者案：王卉《汉代铜器铭文汇总》未收此篇。	
32	饪食器铭文	鼎	平阳家鼎（补）	平阳家，容二斗，重一斤八两。（《文博》2006.3”）		
32	饪食器铭文	鼎	新丰宫鼎（补）	新丰宫，百一十三，容一斗三升，七斤五两。夕里癸。（《文博》2006| 3^9）	整理者案：据铭文拟题。	
32	饪食器铭文	鼎	咸阳鼎（补）	咸阳，五斗九升，名戊。重廿六斤十两。口南口，容二斗，重斤五两。（《文博》 2006, 3？9^	整理者案：吴镇烽录文“口南”作“漓（丨）南、见吴氏《近年所见所拓两周秦汉 青铜器铭文》文，栽《文博》2006.3^4—9）。	
32	饪食器铭文	鼎	佳县鼎（补）	口口宫。重一斤二两，容二斗。（《文博》2006, 3？^		
32	饪食器铭文	鼎	家鼎（补）	家鼎。（《文博》2006, 3？^		
32	饪食器铭文	鼎	康共铜鼎（补）	康共。（《中原文物》2004.4^18）		
32	饪食器铭文	鼎	赤壁沙羡一斗铜鼎（补）	六斤十二两。沙羡一斗宿寺御。一升。（鼎腹部外壁）沙羡一斗。（器底） （《江汉考古》2010.2^120	整理者案：篇题据铭文所出文献拟。	
32	饪食器铭文	鼎	〇型鼎(补)	容二（口沿容石。（腹部)二石一斗五升，共一钧十七斤六两。第三。（腹 部）容一石一斗二升，重一钧十五斤五两，第五百卅五。（腹部^《考古》2013. 10,	整理者案：篇题据原^^告相关文字拟。	
33	饪食器铭文	鼎	长沙鼎（补）	口一口二，有盖，并重十七斤八两，长沙口口口。（口沿，阴文篆书《文物》 2007, 12？33,1^1:95）		
33	饪食器铭文	鼎	大张鼎（补）	大张。（盖八《文物》2〇〇7,7？42，1\11边厢：74）		
33	饪食器铭文	鼎	千秋鼎（补）	千秋。	整理者案：据《历代著录吉金目》页752下栏补。	
33	饪食器铭文	鼎	西汉晋阳铜鼎（补）	君子口口口口。曰口容口口口。烟行口口口口。（盖）四年晋阳，诹丞头，祠 官口，匠口。重十一斤八两，容二斗四升。今并重十一斤七两。第九。（腹部） (《文物》2015.41^89）		
33	饪食器铭文	鼎	西汉宣春鼎（补）	宣春,长平家，重二斤四两。（盖一侧）宣春，长平家，容一斗，重九斤。（腹部 近口沿处八《文物》2008.7F61)		
33	饪食器铭文	鼎	九斤十五两鼎（补）	九斤十五两。（《文物》2009, ^网万）		
33	饪食器铭文	鼎	雷纹鼎（补）	口节作口鼎。	整理者案：据《历代著录吉金目》页804上栏补。	
33	饪食器铭文	鼎	金鼎（补）	金鼎一双^“关沮秦汉墓简牍》？”^^^^^;])		
33	饪食器铭文	鼎	定陶鼎（补）	高庙。（盖）都仓。定陶庙，容十斗,并重九斤二两。（腹）	整理者案：据《隶续》卷十四（页418）补。此器为西汉物。《啸堂集古录》卷上 所录铭文“都仓”二字作横书状。《宣和博古图》卷五“并重”作“共重”。《西清古 鉴》卷七阙“十”字及“九斤二”三字。《西清古鉴》曰：“此云都仓，或监制者官名 也。”《金索》卷一本篇题作“汉高庙鼎”，铭文“十斗”作“一斗”。	
33	饪食器铭文	鼎	宫夷鼎（补）	莒夷鼎，容二升，并重六斤。弟卅二。（盖）莒夷鼎，容二升，并盖重六斤。弟 卅二。（器）	整理者案：据《历代著录吉金目》页849上栏补。	
34	饪食器铭文	鼎	区川鼎（补）	区川口口官口容一斗二口口口重十斤。	整理者案：据《历代著录吉金目》页853下栏补。	
34	饪食器铭文	鼎	后汉建武鼎（补）	……东……鼎……盖重……容一斗（余不辨）	整理者案：据《钟鼎款识》补。亦见《历代著录吉金目》页878下栏。	
34	饪食器铭文	鼎	建武十七年鼎（补）	建武十七年，考工令史击、丞或、令工伍舆造。	整理者案：据陈直《两汉经济史料论丛》？13丨补。建武为东汉光武帝年号（建 武十七年为41年），此为东汉物。	
34	饪食器铭文	鼎	建武廿年鼎（补）	建武十十年，考工令史击、丞或、令工伍舆造。	"整理者案：据《历代著录吉金目》页853下栏补。铭文除“十七”与“十十’’小 弄外，其余全同。颇疑该器与上“十七年鼎”本为一器，以误“十七”作“十十”，故 别作“廿年鼎""。东汉光武帝建武廿年为44年，此为东汉物。"	
34	饪食器铭文	鼎	东汉建宁元年鼎（补）	建宁元年八月丁酉诏书:作鼎一枚，重十二斤，太仆临右工史庞善，考工令张 玮，右丞毛迁，铜曹史和辛。	整理者案：据秦凤鹤《甘肃出土先秦两汉青铜器铭文整理与研究》？162所录 补。铭文“临”疑当是“监”字之误。建宁为东汉灵帝年号（建宁元年为168年）， 此为东汉物。	
34	饪食器铭文	鼎	光和鼎（补）	大司农以戊寅诏书，秋分之日，同度量、均衡石、桷斗桶、正权概，特更为诸州 作铜斗、斛、称、尺，依黄钟律历、九章算术以均长短、轻重、大小，用齐七政,令海内 都同。光和二年闰月廿三日，大司农曹袂、丞淳于宫、右仓曹掾朱音、史韩鸿造。	整理者案：据《历代著录吉金目》页902上栏补。原注曰：“按是器《汉金文 录》著录作斛，参看‘光和斛‘。”光和为东汉灵帝年号（光和二年为179年），此为 东汉物。	
34	饪食器铭文	鼎	汉武帝鼎铭（补）	登于泰山，万寿无[A]疆，四海宁谧，神鼎传[A]芳。	整理者案:据《金石古文》卷十四补。	
35	饪食器铭文	鼎	汉大梁鼎（补）	梁廿又五年，大梁司寇口口智口为量口四分。	整理者案：据《筠清馆金石》卷五补。《筠清馆金石》曰：“此汉梁王之器，其称 ‘梁廿又五年’，犹五凤石刻称‘鲁舟化年’也。”	
35	饪食器铭文	鼎	汉太师鼎（补）	太师鼎。	整理者案：据《陇右金石录》卷一补。《陇右金石录》曰：“今佚。虞荔《鼎录》： 董卓为大师，铸鼎，其文曰‘大师鼎’，古隶书。”	
35	饪食器铭文	鼎	承露鼎文（补）	承露鼎。	整理者案：据《中州金石考》卷七补。《中州金石考》曰：‘‘《鼎录》：安帝延光四 年铸于少室山，其文曰‘承露鼎’，小篆书。”	
35	饪食器铭文	鼎	汉太宗庙鼎文（补）	大宗庙金鼎，容一斗，重九斤三两。元年十月丁亥，宜成口口越库婴工九造。 	整理者案：据《八琼室金石札记》卷二补。《札记》曰：“称元年而不书纪号，景 帝时尚未建元也。”又曰：“宜成，汉侯国，隶济南郡。”据此，则此器为西汉景帝 时物。	
35	饪食器铭文	鼎	永安宫鼎（补）	永安宫铜鼎，容斗，重十一斤。甘露元年十月併工长造。护昌，守啬夫宗扬省。（《汉金》卷一）	整理者案：据《历代著录吉金目》页879下栏补。甘露为西汉宣帝年号（甘露 元年为前53年），此为西汉物。	
35	饪食器铭文	鼎盖	安陵鼎盖	华共，一斗一升半升，十斤。十九。今安陵，二升，一斤十四两。今安陵，容二 升，重一斤十四两。元年四月，受云阳厨。第册六甲。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。本篇但云“元年”，则此器应为西汉武帝建元前物。	
36	饪食器铭文	鼎盖	阳信家铜二斗鼎盖	阳信家铜二斗鼎盖，并重十四斤四两。四年二月，工官得指造。第十二。函 池。（盖）阳信家，容二斗，并重十六斤。六年。第十七。黄山。（腹“《文物》	整理者案：本篇但云“六年”，则此器应为西汉武帝建元前物。	
36	饪食器铭文	鼎盖	上林鼎盖	上林。第十六。（《汉金》卷一）		
36	饪食器铭文	鼎盖	商鼎盖	商。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。《历代著录吉金目》页748上栏篇题无 “盖”字。	
36	饪食器铭文	鼎盖	伏地鼎盖	伏地。（阳文^《汉金》卷一）	整理者案：本篇亦见《金文续编》，但无“阳文”二字。	
36	饪食器铭文	鼎盖	方氏鼎盖	方氏。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。《历代著录吉金目》页755上栏篇题无 “盖”字。	
36	饪食器铭文	鼎盖	樵鼎盖	谍。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。	
36	饪食器铭文	鼎盖	张氏鼎盖	张氏铜鼎盖，并重十斤八两。第四。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。	
36	饪食器铭文	鼎盖	迎光宫鼎盖	蒲反迎光宫铜鼎盖。第十一。（《汉金》卷	整理者案：本篇亦见《金文续编》。《历代著录吉金目》页828下栏篇题作“蒲 反迎光宫鼎”。	
36	饪食器铭文	鼎盖	平阳鼎盖	平阳，容一斗二升,重十斤七两。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。《历代著录吉金目》页840下栏篇题无 “盖”字，然又以铭文为盖铭。	
37	饪食器铭文	鼎盖	广阳鼎盖	广阳。卅六。容二升，重二斤二两。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。	
37	饪食器铭文	鼎盖	废丘鼎盖	废丘，一斗少半斗，重三斤。甲四。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。	
37	饪食器铭文	鼎盖	西乡鼎盖	西乡二斗鼎盖，重三斤四两。第二。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。《历代著录吉金目》页845上栏篇题无 “盖”字。	
37	饪食器铭文	鼎盖	汧鼎盖	汧共厨铜一斗鼎盖，重二斤一两。第八。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。《历代著录吉金目》页850下栏篇题作“汧 共鼎”。	
37	饪食器铭文	鼎盖	啬川鼎盖（一）	菌川金鼎盖，并重廿四斤。第一。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。	
37	饪食器铭文	鼎盖	菌川鼎盖（二）	甯川金鼎盖，并重十八斤。第四。（《汉金》卷一）	整理者案：本篇亦见《金文续编》。《历代著录吉金目》页842下栏本篇题作 “茴川金鼎”。	
37	饪食器铭文	鼎盖	菌川鼎盖（三）	窗川金鼎盖，并重十七斤。第十五。（《汉金》卷一。拓本在卷七）	整理者案：《历代著录吉金目》页851上栏题作“蜜川金鼎”。铭文“十七”， 《筠清馆金石》卷五、《历代著录吉金目》作“十十”。	
